x,y,r
514150.0,137720.0,9.2617
514200.0,136750.0,9.0359
514320.0,142470.0,8.969
514320.0,141430.0,9.0919
514330.0,140380.0,9.2684
514340.0,143510.0,8.8795
514340.0,139350.0,9.4135
514350.0,138360.0,9.4217
514370.0,144530.0,8.8155
514380.0,137380.0,9.2401
514440.0,136410.0,8.9951
514560.0,142100.0,9.07
514560.0,141050.0,9.2228
514570.0,140020.0,9.3947
514570.0,143140.0,8.9447
514570.0,139000.0,9.5002
514580.0,138010.0,9.4333
514590.0,144170.0,8.8222
514610.0,137040.0,9.2082
514680.0,136070.0,9.0679
514790.0,141720.0,9.1819
514800.0,140680.0,9.3522
514800.0,142770.0,9.042
514800.0,139650.0,9.5023
514800.0,138650.0,9.5507
514810.0,143800.0,8.8973
514810.0,137670.0,9.4263
514840.0,144820.0,8.8015
514850.0,136700.0,9.1795
515020.0,138300.0,9.5724
515030.0,139290.0,9.5768
515030.0,141340.0,9.3013
515030.0,142390.0,9.152999999999999
515030.0,140310.0,9.4665
515040.0,137320.0,9.4167
515040.0,143420.0,8.9901
515060.0,144450.0,8.8195
515080.0,136340.0,9.1608
515240.0,137950.0,9.5786
515250.0,138930.0,9.6136
515250.0,139930.0,9.5541
515260.0,140960.0,9.4155
515260.0,136970.0,9.42
515260.0,143050.0,9.1042
515260.0,142000.0,9.2598
515280.0,144080.0,8.895
515310.0,145090.0,8.7795
515320.0,135990.0,9.2926
515460.0,138570.0,9.6255
515460.0,137590.0,9.5849
515480.0,140580.0,9.5118
515480.0,139560.0,9.6021
515490.0,136610.0,9.4145
515490.0,141620.0,9.363999999999999
515490.0,142660.0,9.2189
515500.0,143700.0,9.0157
515520.0,144720.0,8.8101
515550.0,145730.0,8.6565
515680.0,138210.0,9.6299
515680.0,137230.0,9.6003
515690.0,139200.0,9.6207
515710.0,140200.0,9.5725
515710.0,142270.0,9.3199
515710.0,141230.0,9.4604
515720.0,143310.0,9.1466
515720.0,136240.0,9.4626
515740.0,144340.0,8.8887
515770.0,145350.0,8.7449
515890.0,137850.0,9.6363
515910.0,136870.0,9.6115
515910.0,138830.0,9.6256
515920.0,139830.0,9.6023
515930.0,140840.0,9.533
515940.0,141880.0,9.4102
515940.0,142920.0,9.2658
515960.0,143950.0,9.0225
515960.0,135870.0,9.6714
515980.0,144970.0,8.7959
516000.0,145980.0,8.6412
516110.0,138470.0,9.6273
516110.0,137490.0,9.645
516130.0,136490.0,9.6348
516130.0,139450.0,9.6139
516150.0,140460.0,9.5736
516160.0,142520.0,9.363
516160.0,141480.0,9.4883
516170.0,143560.0,9.1697
516190.0,144580.0,8.8828
516190.0,135490.0,9.7095
516210.0,145600.0,8.711
516320.0,138100.0,9.6317
516320.0,137110.0,9.6509
516340.0,139080.0,9.6121
516360.0,140070.0,9.5949
516360.0,136110.0,9.6805
516380.0,142120.0,9.4426
516380.0,141090.0,9.5388
516390.0,143160.0,9.2946
516400.0,144190.0,9.0235
516420.0,145210.0,8.7801
516430.0,135100.0,9.7525
516450.0,146210.0,8.6209
516530.0,137730.0,9.6374
516540.0,136730.0,9.662
516550.0,138710.0,9.6056
516570.0,139690.0,9.5943
516590.0,140700.0,9.5692
516590.0,135720.0,9.7168
516600.0,141720.0,9.5012
516600.0,142760.0,9.3909
516610.0,143800.0,9.1785
516620.0,144820.0,8.8798
516650.0,145830.0,8.6712
516670.0,134700.0,9.81
516740.0,137340.0,9.64
516750.0,138330.0,9.602
516760.0,136340.0,9.6856
516770.0,139310.0,9.58
516800.0,140310.0,9.5771
516810.0,141320.0,9.5381
516820.0,143390.0,9.309
516820.0,142360.0,9.4603
516820.0,135330.0,9.7525
516830.0,144420.0,9.0254
516850.0,145430.0,8.7597
516920.0,134310.0,9.8703
516950.0,136960.0,9.6452
516950.0,137950.0,9.5996
516970.0,138930.0,9.5588
516980.0,135950.0,9.7115
517000.0,139920.0,9.5672
517020.0,140920.0,9.5573
517030.0,142990.0,9.4048
517030.0,141950.0,9.5042
517040.0,144020.0,9.1839
517050.0,145040.0,8.875
517050.0,134930.0,9.8065
517080.0,146050.0,8.6548
517150.0,137570.0,9.5943
517160.0,136560.0,9.6566
517160.0,133900.0,9.9331
517170.0,138550.0,9.54
517200.0,135550.0,9.7416
517200.0,139540.0,9.5385
517220.0,140530.0,9.5558
517240.0,141540.0,9.5329
517240.0,143610.0,9.3157
517240.0,142580.0,9.466000000000001
517250.0,144640.0,9.0291
517280.0,145650.0,8.7372
517280.0,134520.0,9.86
517360.0,137170.0,9.5876
517370.0,138170.0,9.5228
517380.0,136160.0,9.667
517390.0,139150.0,9.5006
517400.0,133500.0,9.9821
517420.0,140140.0,9.5381
517430.0,135140.0,9.7819
517440.0,141140.0,9.5408
517450.0,143200.0,9.408999999999999
517450.0,142160.0,9.5035
517460.0,144230.0,9.1895
517470.0,145250.0,8.8652
517500.0,146250.0,8.6159
517520.0,134110.0,9.9077
517560.0,137770.0,9.505
517560.0,136770.0,9.581
517590.0,135750.0,9.6863
517590.0,138760.0,9.4629
517620.0,139740.0,9.4994
517640.0,133090.0,10.005
517640.0,140740.0,9.5348
517650.0,141750.0,9.5233
517650.0,134730.0,9.8245
517660.0,142780.0,9.4665
517660.0,143820.0,9.3193
517670.0,144840.0,9.0285
517690.0,145850.0,8.7029
517750.0,133700.0,9.9382
517760.0,137370.0,9.4864
517770.0,136360.0,9.5769
517780.0,138370.0,9.4264
517810.0,139350.0,9.4485
517810.0,135340.0,9.716000000000001
517840.0,140340.0,9.5105
517850.0,141340.0,9.5244
517860.0,142360.0,9.4996
517860.0,143400.0,9.4098
517870.0,144430.0,9.192
517880.0,134310.0,9.866
517890.0,145440.0,8.849
517920.0,146450.0,8.579
517960.0,136970.0,9.469
517970.0,137970.0,9.3919
517980.0,135950.0,9.5849
517990.0,133290.0,9.9838
517990.0,138960.0,9.3941
518020.0,134930.0,9.7585
518030.0,139940.0,9.4655
518050.0,140930.0,9.5141
518060.0,141950.0,9.5116
518060.0,142980.0,9.4653
518060.0,144010.0,9.3207
518080.0,145030.0,9.0247
518100.0,146040.0,8.6558
518100.0,133900.0,9.9059
518160.0,136560.0,9.4572
518160.0,137570.0,9.3618
518180.0,138560.0,9.3389
518190.0,135540.0,9.6115
518210.0,139540.0,9.4058
518220.0,132880.0,10.025
518240.0,140530.0,9.4834
518240.0,134510.0,9.8091
518250.0,141530.0,9.5091
518260.0,143590.0,9.4094
518260.0,142550.0,9.4928
518270.0,144620.0,9.1917
518290.0,145630.0,8.8225
518330.0,133480.0,9.9532
518330.0,146640.0,8.5951
518350.0,137160.0,9.34
518360.0,136140.0,9.4586
518370.0,138160.0,9.287
